,text,label
56,@user haiti listed second worse place travel shithole talking @url,normal
57,dyke nation? @url,offensive
58,@user put mic retard,offensive
59,okay forgive u- u spic ;) @url,offensive
60,many mdsz's classical golden scenes cut stupid retarded shitty idea going @url,offensive_normal
61,parar anorexic mongol.,normal
62,@user @user parody one thing twat funny.,offensive
63,@user swear .. white people fucking retarded ...,hateful_disrespectful
64,never called kike dirty jew @user began campaign. hateful rhetoric ha @url,hateful_normal
65,@user called faggot stole wall burger king bathroom,offensive
66,@user @user go back shithole country grab pussy,offensive
67,@user look retarded,hateful_disrespectful
68,wish could around see one shithole-countries rule world one day. (better yet trump still around.),hateful
69,@user @user that's retarded thing ever seen twitter.,offensive
70,fucking fat anorexic gay homophobic mexican nigger retard pig @user,offensive
71,maybe i'm retarded,fearful_abusive_offensive_hateful_disrespectful
72,migraction 59 en faveur des migrants de calais @url via @user,fearful_normal
73,twat @url,offensive
74,nigga didnt realize fox news negro thought talking shit white women would ok @url,offensive_disrespectful
75,@user reread shit illiterate twat,offensive
76,@user ching ching chong :),offensive
77,@user @user fuck suicide male prostitute rubbish chinaman lee hsien loong imagining h @url,offensive
78,helped bring alc ae pi party faggot trying kick out. i've less min. fa @url,offensive
79,games c9 surrender look svenskaren go full retard game 2.,fearful_offensive
80,stop pleasin' strangersninstead fam'ly twat!,offensive
81,@user okay giving benefits illegal aliens? ary okay working illegally? ar @url,hateful
82,mongoloid literally said wrong place 15 times. @url,offensive
83,everyone calls mongy jess hate,offensive
84,@user fuck mongy bin dipper,offensive
85,@user i'd assume nonce like say retard. harsh,abusive_offensive_hateful_disrespectful_normal
86,everything better. cunt alive..,offensive
87,@user @user could given shithole countries money,offensive_disrespectful
88,cunt wants grab generation scruff neck getting fucking stupid @url,offensive
89,need @user tell i'm twat right here!,offensive
90,@user twat,offensive
91,@user unaccounted illegal aliens happy. tufail one,offensive
92,opposed using word retard retarded would think ok use word libtard?!,offensive
93,living real white got soul still spic !,offensive
94,@user @user economic asylum thing. neither country shithole asylum. nnhow @url,abusive_offensive_hateful_disrespectful_normal
95,retarded toxic femininity  @url,offensive
96,@user rather clear thinknnhe'd rather chinaman would different reason,fearful_abusive_offensive_hateful_disrespectful
97,baby knows potus #mongoloid,hateful
98,man leave one week first twat nut,abusive_offensive_hateful_disrespectful_normal
99,@user america shithole country los angeles good.,hateful
100,@user sigh.. said spic..,offensive
101,@user nigger,offensive
102,scomo biggest faggot madden historyhe bashes everyone anything madden @url,offensive
103, gimme break gimme break. break piece fat retard  @url,disrespectful
104,@user think retard tbh success twitters made automatically post discord many use @url,offensive
105,@user everything enraging. smug little twat.,fearful_abusive_offensive_disrespectful_normal
106,smelly psy blk mom tryin tu send retard kid blk goons car nights sleepnnthe leader smelly @url,offensive
107,trump hate jews lmfao ya niggas full retard. know work @user @user right? @url,offensive
108,buy @user @user @user @user @user @user regularly alternatives @url,normal
109,@user @user honduras guatemala??? would considered shithole countries well?,offensive
110,@user fuck faggot,normal
111,look leftist terrorist like guy shot @user softball game compar @url,normal
112,dawg rondo fucking retarded,offensive
113,2018 yall dont know calling asians ching chong racist,offensive
114,@user early gab awesome maga sad see whole thing wither die one giant retard moshpit cringe.,offensive
115,get they're dead communist literally retard mode,offensive
116,@user hmm okay case take care twat,disrespectful
117,@user @user @user retard twitter account looks like.,offensive
118,@user behave yurself today match day stop twat,fearful_offensive
119,sounds fucking retarded. idiots seriously get kick shit? jesus...,offensive
120,horrible cunt @url,hateful
121,@user welcome twitter club known as.. reported far left retarded cry baby..! @url,offensive_hateful
122,#shitholecountry leave?nnoh yeah....because shithole country overran @url,hateful
123,@user @user @user retarded.,offensive
124,@user @user mongy american probably,offensive
125,cunt progress bint tpa talking one rule oneone another. near fucking choked coffee.,offensive
126,@user @user dont take allegations seriously thats feminazi brainwashing. see is. context everything.,fearful_abusive_hateful_disrespectful_normal
127,@user literally mudslinging retard,hateful
128,true ur ching chong _ 1/8 xd @url,offensive
129,damn right mfs retarded @url,offensive
130,think pittsburgh synagogue shooting hate related ... retarded.,normal
131,(i reclaim retard dont get mad),offensive
132,@user @user cant tell bonnie actually retarded shes pretending.,abusive_offensive_hateful_disrespectful_normal
133,@user fuck suicide male prostitute rubbish chinaman lee hsien loong imagining rubb @url,abusive_offensive
134,@user @user retard explained isnt drama,offensive
135,1/1024th middle eastern leftist they'd calling largest terrorist attempt since 9/11.nnbut @url,hateful
136,@user 6/28/2018. four illegal aliens accused kidnapping raping two teenage sisters 13 1 @url,normal
137,cum eye ball faggot dickhead fucking cunt slut cakes,offensive
138,matter hard try always retarded math,fearful_offensive_hateful_disrespectful_normal
139,@user ching chong style,offensive
140,full grown man fancy dress halloween? wank stain. certified twat.,fearful_abusive_offensive_disrespectful_normal
141,@user look relatives asia mongoloid. many fair haired blue @url,offensive
142,kyo retard nlike fuck,offensive
143,@user @user @user #florida shithole country. yeah part usn3 killers @url,offensive
144,come serve faggots. messages open. looking new faggot fill space wallet. #findom @url,offensive
145,sheck wes nigger,hateful
146,@user thanks spic,offensive_hateful
147,swear boyfriend partially retarded times,fearful_abusive_offensive_hateful_normal
148,@user i'm making buttered noodles u retard,offensive
149,proper cunt blokes likely lost friend colleague fuckers already diving absolute @url,offensive
150,@user @user would break heart. america advanced ins many ways conversely retarded w @url,offensive
151,meanies call mongol sayni child genghis khan child orangutan,abusive_offensive
152,faggot looks like walking hiv @url,fearful_abusive_offensive_disrespectful_normal
153,getting illegal aliens stay home fear good first step. next hope move onto self-deporting @url,offensive
154,cunt would walking away @url,offensive
155,@user fuck u spic,offensive
156,trannys retarded _ asshole  @url,offensive
157,@user @user ima real...you try talk 20000 screaming mentally retarded adults cant even form @url,offensive
158,keep mind im negro open mind got screen door best bar whole fuckin album lol,offensive
159,wayne collab decaying negro,offensive_hateful
160,@user lol ok sure. cunt ,offensive
161,enough enough! @user cancel scheduled testimony lying feminazi ford needs @url,fearful_hateful
162,whole okay white thing created expose hate white people inclu @url,offensive
163,ima let negro bc really got fucked &amp; know better !!,offensive
164,@user crude leftist podcast uses word retard lot fan base made angr @url,offensive
165,retard. @url,offensive
166,lagged yo chill faggot fucking hell lol. killing ,offensive
167,@user yes retarded leader paper tiger.,hateful
168,selling dvds hahahaha shop gonna hate woman counter mongy cunt anyway deser @url,fearful_abusive_offensive_hateful_normal
169,i'm done dealing little bitches. grow fucking pair cunt.,normal
170,well maybe i'm faggot america!ni'm part redneck agendannow everybody propagandanand sing along age paranoia,hateful_disrespectful
171,u see colonialism right?? i'd blast writing vmin getting lost mongol shobhajatra ppl w @url,normal
172,got head like dyke got head like @url,offensive
173,literally feel retarded anytime use left hand...i looking kinda stupid ,offensive
174,@user hey spic kinkdom bigger get facts sending ur little puppets talk smacknnur server @url,hateful
175,@user @user @user hypocrisy retard anyways how's johghyun doing?,offensive
176,cmon machado fucking mongoloid,offensive
177,@user chinaman issue,offensive
178,@user rastice bitch add fagot sucks cock dam day night fucking faggot,offensive
179,15 mins netflix &amp; chill called faggot,offensive
180,@user @user happens anel retarded.,offensive
181,@user @user waste graceful white filthy refugees.,offensive
182,@user lmfao shut cunt unfollow,abusive_offensive
183,@user ching chong,offensive
184,@user brazil go vote use finger print id 3rd world shithole... wh @url,offensive
185,photographer - humana - 4 #portrait #rio_negro #argentina #strkng #photography #contemporary #bestof @url,normal
186,ring chong ching ching chong chong ching,offensive
187,golden visas: wealthy immigrants abuse quebec's immigration pro... @url via @user,normal
188,@user @user eu ching chongs arent real ching chong,offensive
189,@user @user @user oooft ya cunt  cant belive still photo haha x,offensive
190,faggot people? self hatred much king? @url,offensive
191,@user skele boi far superior toothy mongoloid,offensive
192,@user feminazi detected,offensive
193,@user many dead illegal aliens vote blue november dems arent worried,offensive
194,okay white,offensive
195,@user u dad fucking retard,offensive_disrespectful
196,@user goat beach way retard,normal
197,@user @user @user florida shithole armpit united states. gulf @url,offensive
198,@user whatever retard,offensive
199,rrrrrrly dont care im cunt,offensive
200,&gt;if people truly matter even one retarded hold much importancennthey @url,fearful_abusive
201,feel retarded cant,offensive
202,@user @user yeap....spic wet.,offensive_hateful
203,@user @user outrageous!!!!!!!! outrageous!!! youre going illegal aliens (because thats wh @url,offensive
204,@user text back faggot,offensive
205,d-rats feminazi abortion devils came trolling carloads cash. despicable! @url,hateful
206,baby daddy retarded bitch,offensive
207,@user fair nigger!,fearful_abusive_offensive_disrespectful_normal
208,@user really want turn country shithole. going happen.,offensive
209,fucking hate lanky ginger cunt joseph brady,hateful
210,#dodamage slogan unbelievably stupid. every offense's goal damage. gives mongoloid boston f @url,fearful_abusive_offensive_hateful_disrespectful
211,i'm gay i'm faggot shut fuck up.,abusive_offensive
212,@user retard tranny spic show good,offensive
213,i'm racist! touched tan dick once. sure race though. kinda spic.,fearful_abusive_offensive_disrespectful_normal
214,@user @user @user woman. tool. make feel unsafe. how's retard.,offensive
215,@user called shithole countries trump .,offensive
216,@user @user hellbent ching chong communists want oppress anyone isn' @url,offensive_hateful
217,@user dirtiest chinaman criminal lee hsien loong inciting racial hatred malaysian chinamen crimi @url,offensive
218,@user barns heard discussing 'lecherous twat' mistook 'leftist plot'.nneasily done ....,disrespectful_normal
219,mr drabu snobby twat are! @url,offensive
220,california candidate governor promises free health care illegal immigrants latest push financial @url,offensive
221,@user @user shithole countries ring bell? good genes? birtherism fine people sides,offensive
222,@user @user fast forward section unfunny twat,offensive_hateful
223,grandma called faggot today that's new low,abusive_offensive_hateful_disrespectful_normal
224,imagine living shithole country since birth yet stick peak american politics,offensive
225,shut nigger @url,offensive
226,think communists despise white people capitalism went full retard less okay @url,offensive
227,volkan looking like retarded cousin brian ortega #ufcmoncton,offensive
228,bitch shut yo retarded ass looking like great value nipsey hussle. @url,normal
229,cunt everyone smell it.,offensive
230,literally waited red light five minutes i'm fucking retard,offensive
231,words it'll become shithole state instead shithole country? @url,hateful
232,@user @user en retard look ton insta,offensive
233,@user @user egn admin? shut fucken mouth cunt give fuck ftp put @url,offensive
234,pinche mames wey!!!! ugh fucking orange cunt stupid af!! @user yea @url,offensive
235,@user sure except directly quoting trump's shithole countries.,disrespectful_normal
236,aw nut cunt fkn gee lift home,abusive_disrespectful
237,@user violence?you got mad year ago saying shithole countries. make minds. @url,offensive
238,trot cinema watch burn stage fucker chanting 2!3! might throw twat @url,offensive
239,@user visited taiwan once!i hope go back country someday,normal
240,let rot shithole chose. never ever ever let near country @url,fearful_abusive_disrespectful_hateful_normal
241,i'm looking relationship means i'm trying hoe around ?  retard juice strong,offensive
242,course safety net necesary that's basic principle civikized country.nno shithole country safet @url,fearful_normal
243,@user needs remind @user one million polish immigrants flooded britain exploited wor @url,offensive
244,@user migrants bring disease death properly vetted,fearful_abusive_offensive_hateful_disrespectful
245,@user @user shut fuck retard,offensive
246,carrying retard boy @user @url,offensive
247,wow. twat @url,offensive
248,@user @user @user babe ruth dirty jew,hateful
249,@user wow. remember tried spinning shithole countries people like nah okay. human garbage.,normal
250,since cishets feel need butt head everything lgbt+ related: gay people say faggot.ntransgende @url,offensive
251,people get offended insults jokes words like retarded autistic faggot etc. @url,offensive
252,@user thnk u spic flair,offensive_normal
253,@user stop making gay u faggot,hateful_disrespectful
254,@user @user witch muslim country shithole? #crickets,normal
255,keep mind.. call faggot spanish mean can't still understand you.,offensive
256,@user @user pretty much hes little dick faggot needs ass beat reality check ain't shit,offensive_hateful
257,@user retard.,offensive
258,@user @user ching chong ching ching jackie chan,offensive
259,@user (shithole countries sons bitches bleeding whatever sleepy eyes grab @url,offensive
260,@user @user trans male mongoloid woman's event. goes @url,offensive_hateful
261,@user treating like treat dengists i'd probably say read book retard post b @url,offensive
262,@user @user @user low life people shithole countries. truth always flowers candy.,offensive
263,tbh wouldnt hard drain refugees europe. arent smart. make lot noise. draw @url,offensive
264,one day work 3:30 morning fucking calf decided go full retard @url,offensive
265,twat? gary twat ,offensive
266,shoot shot lil faggot bitch. ya girl seen tonight knows what's it. got something say @url,offensive
267,envy people know express emotions without sounding like complete retard,offensive
268,@user gonna happen retarded traders get etf approval,abusive_offensive
269,@user wait. lost control dyke w/ @url,offensive
270,@user ok hobi spic,fearful_abusive_offensive_hateful_disrespectful
271,anyways imma take nap there's fascists everywhere shithole country hope die yeehaw ,offensive
272,fat mongy mess today ,fearful_offensive_hateful_disrespectful_normal
273,okay really americans fucking mongy @url,offensive
274,non kpop fans call chinese ching chong ch*nks see nobody outside east asian fando @url,offensive
275,find faggotnnnnyou can't? that's faggot @url,offensive
276,auto watch subhuman(?:w*arab)w*raghead zoe --autopull,offensive
277,get u talk u talk likea retard,offensive
278,celebrating??????? curry gonna let smash gay mongoloid fuck,hateful_disrespectful
279,@user boys boys.....until feminazi mothers beat toxic masculinity them.,offensive_hateful
280,@user joven wedding night: wanted pencilnvicente: i'll buy mongol factory younjoven:,offensive
281,@user shut retard,offensive
282,fuck ching chong siopao dimsum shit sa question 3 ???? cant understand cant c n e x u l z e kasi vague,offensive_hateful
283,tammy bruce: foreigners bring disease across border - washington times @url,hateful_normal
284,america pay back ching chong bing bong ass niggas @url,fearful_offensive
285,#xfactor2018 twat panel plastic yank voice ? ffs annoying sound i've ever @url,offensive
286,anyone actually believe him? 24 hours contemplation faggot already changed mind: it' @url,normal
287,anyways harry styles could call dirty spic id still munch asshole shame,fearful_abusive_offensive_hateful_normal
288,@user uhm ?! need explain making wrong say gook chink spic mick heb common disc @url,offensive
289,@user @user @user trump's issue 'shithole' countries full brown people. @url,offensive
290,last night bar cunt pulled purge knife slight tug war @url,offensive
291,cunt. @user report blasphemy? @user @url,offensive
292,he's right... lets kick every alt-right retard da balls... got noth'n anything. nfree shot @url,fearful_abusive_hateful_disrespectful_normal
293,going university almost unimaginable refugees.,offensive
294,@user @user say ching chong time?,offensive
295,hard watch. cunt cut it. beyond words @url,offensive
296,@user @user i'm spic say build wall!!!,offensive
297,kids better live balls shithole country.,offensive
298,@user dont speak ching chong bing bong sorry,offensive_hateful
299,@user smell like farted arted ab honor roll f's retarded,offensive
300,saddest anime cus he's retarded,fearful_abusive_offensive_disrespectful_normal
301,11. told parents. parents immigrants didnt know report it. wife aunt fo @url,offensive
302,justin tucker mongoloid,fearful_abusive_offensive_hateful_normal
303,problem frank? faggot? hey go eat mothers asshole out. hey - fuck fuck f @url,offensive
304,stupid greasy spic ayoze starts next week i'll commit.,offensive
305,always liberals threaten i'm spic deported supporting trump. @url,fearful_offensive_hateful_normal
306,@user fun i've twat think started ignoring,hateful_disrespectful
307,@user funny leftist always projecting morals people. giving billions terror state @url,normal
308,@user delete feature retarded anyways... would someone delete something payed for? like @url,offensive_hateful
309,@user @user both. skilled human driver save retarded ai job yet. com @url,offensive
310,@user @user shut retard @url,offensive
311,@user said group message called basically retarded ain't even dodgers fan lol. simple,fearful_abusive_offensive_hateful_normal
312,illegal aliens need shipped home!,normal
313,@user gotta pick spanish cus can't spic ass family butchering baby's name lmao,abusive_disrespectful
314,game glitched cunt complete challenges like 4 times actually count,hateful_disrespectful
315,videos grandpas fat gay fucking gay grandpas negro gay masturbation peperonity gay fetish pics,hateful
316,went passed fancy dress shop southside n there's actual fucking bouncers outside ya cunt imagine kb'd @url,normal
317,@user mongy like,hateful_normal
318,@user trump would press win argument shithole countries. i'm sure adults le @url,offensive
319,@user @user pretty sure called spic four times already,offensive_normal
320,like remember iconic nigger tweet,fearful_offensive_hateful_disrespectful_normal
321,@user went full retard,offensive
322,@user @user yeah long west ham fans ok .fuking retard,offensive_hateful
323,@user @user nah handle truth went like retard damaging cause @url,abusive_offensive
324,me: h-nnmy mom : know faggot disappintment,offensive
325,@user ching chong one hundred,normal
326,chinese restaurants black friday business tonight. least boston area..ching chong.,offensive
327,casey runs 7 years i'll seek nomination run platform calling cunt every given event.,fearful_disrespectful
328,@user @user @user trump orange presbyterian mongoloid.,offensive
329,@user @user im chinaman vietcong,offensive_disrespectful
330,@user fine dyke,offensive
331,@user @user @user literally spin circles mongol.,offensive
332,@user @user @user whatnskip funny fuck love him. he's retard he's legend,offensive
333,africa shithole full africans. south america ditto. arab countries fare better due oil @url,normal
334,1. fear mongering refugees loitering international waters waiting labo,normal
335,utter cunt !! @url,abusive_offensive
336,@user ching ching chong rootbox ohhh got youtube money!!!,offensive_normal
337,britain 2018. third world shithole.nna country sharia leaders cut clitorises baby girls wi @url,offensive
338,found everyones origins africa aloud say nigger? #nohatejustasking,offensive
339,@user cant understamd shit ching chong,offensive
340,played kodak black last 8 songs girl came said must retarded like music @url,offensive
341,seen treat guests show? give break.nnif leftist attack calli @url,offensive
342,@user happy birthday cunt x,offensive
343,@user @user @user @user @user using likes retard lmao,offensive
344,@user @user turning away refugees kind? ignoring sick kind? using campaign funds pay @url,normal
345,@user career criminal chinaman regular talker mention audibly enough last quarter 2014 al qaida @url,offensive
346,@user @user @user follow dirty jew,offensive
347,24 hours swakopmund namibia #travel #africa #ttot @url,normal
348,old lesbians called baby dyke am: offended. i'm 24,offensive
349,@user agree totally. word retarded politically incorrect that's would call dave roberts,offensive
350,@user @user wolf blizzard seems almost retarded estimation.,offensive
351,12 illegal immigrants criminal convictions fraudulently claimed @url,offensive
352,dave roberts certified retard,fearful_offensive_hateful_disrespectful_normal
353,debating whether call floor verbally abusive mega fish ends calling faggot healthy way live.,normal
354,@user fuckin retard,abusive_hateful
355,@user @user stop shit jewish blood hands retard.nnred hats = blac @url,offensive
356,nyc shithole country god quickly destroyed rudy build shameless @url,fearful_normal
357,country shithole nn#usa attacking people #computing #torture #brainrape @url,offensive
358,@user well parents liken'carikla ching chong guy college',offensive
359,#feminization #coercedfem #faggot #sissification #sluttraining watch clip @url @url,offensive
360,remember always go full retard maybe back. @url,hateful
361,@user @user @user eating meat - beside point.nthis cunt hunting trophy pos @url,offensive
362,@user @user fuck retard,offensive
363,@user @user look like dyke bruh ,normal
364,@user lmfao tell cunt look elsewhere,hateful
365,@user jfox retard ,offensive
366,gentle reminder: atrocities nation states fix accept refugees yours.,normal
367,canadians believe refugees treated better pensioners. case @user shows. @url,fearful_abusive_offensive_disrespectful_normal
368,@user @user @user @user @user @user raghead! free speech @url,offensive
369,pinoy talents hope hired. minimum requirements:n- look like mongoloidn- voice sounds like turkeynkad @url,offensive
370,every month would mention something flooding apartment retard.,offensive
371,@user @user islamists allied every leftist terrorist movement absolutely n @url,offensive
372,go crazy spic look like name would vanessa hoops..,offensive
373,bald twat. nnhe can't anything tie!! @url,offensive
374,@user @user hate mongoloid voice,offensive_disrespectful
375,@user thought love diana rossnn*dresses like chinaman*nnwho like sweet sour chicken?,fearful_abusive_offensive_disrespectful_normal
376,katsuki bakugon- calls mates cuntn- drives uten- wears thongs (flip-flops) everywheren- illegal uies n- road rage king,fearful
377,@user @user dont find credible feminazi women lie vicious nasty revengeful @url,normal
378,pl faggot,offensive
379,damn retarded ,hateful
380,think (late) immigrants africa likely succeed america black americans.,offensive_normal
381,@user @user @user @user @user definately receiving twitter top twat th @url,offensive
382,@user sarah silverman gone full retard.,offensive
383,@user @user @user @user sound retard democrat. literally files moron. par @url,offensive
384,y'all niggas gay hella faggot ass shit,abusive_hateful
385,@user yup pretty much. i'm leaving shithole country.,offensive
386,criticism soros actually attack jews? nreferring globalist akin saying dirty jew @url,offensive
387,msnbc 7 bombs sent democrats conspiracy mongoloid right dirt bags. bombs tack therefore fb @url,offensive
388,@user @user lemon husband jealous!!! buntch retarded clowns ,offensive
389,..why illegal aliens allowed mobile phones? @url,hateful
390,every time see fine ass dyke always mediocre fem ,offensive
391,@user nigger,offensive
392,@user hi still thinking mongoloid ingrate yesterday dirty snp bastard called @url,offensive
393,@user lmfaooo nigga said nigger,offensive
394,guy mentally retarded? @url,offensive
395,negro fumbles....,offensive
396,instead saying immigrants threat national security need acknowledge plenty @url,disrespectful_normal
397,@user unfair. need step retard game.,offensive
398,truly fucking baffles people genuinely fucking think saying ching chong ling lang ding actuall @url,normal
399,even fucking retard knows @url,offensive
400,@user @user shooter nazi leftist terrorist palestinian sympathizer...,normal
401,@user @user twat shot sleeping  lion,hateful_normal
402,can't stop laughing expect shithole call nigeria investors come zoo called @url,offensive
403,another false flag attack antifa leftist mobnnno one could expected man pictures @url,normal
404,@user saying raghead goat one tweet insta-follow standards,offensive
405,@user alright alright spic.,offensive
406,@user @user shut retard ,offensive
407,men fucking retarded,offensive
408,called donald rumsfeild raghead internet long time ago.,normal
409,@user i'm man still retard.,hateful
410,im calling army cute nigger society,offensive
411,@user encourage us! we've got 'it's okay white' bill going,offensive
412,ryan cunt,normal
413,he's accidentally losing series cuz he's retarded @url,offensive
414,trevor belmont faggot yupp love,offensive
415,got banned called desiinger retard,abusive_hateful
416,learn speak ching chong  um @url,offensive
417,@user @user @user @user hildebrand twat pure simple.,offensive
418,@user gebby miss mongol japon ka?,abusive_normal
419,@user @user @user okay white family loves you.,offensive
420,@user dudes started pulling eyes back started yelling ching chong once. outraged,offensive
421,@user @user explaining defend illegal aliens citizens? @url,disrespectful_normal
422,@user spic got eye u ingrates,offensive
423,thete nrrd call corina cunt! need!!,offensive
424,meant funny...fuckin cunt @url,offensive_normal
425,@user comes movie since saying retard unwoke replaced family friendly version,offensive
426,grandma teach children spanish reason immigrants refuse learn/speak english fe @url,disrespectful_normal
427,18. enter illegal aliens. @user used model created bay area politicians like @user repl @url,fearful_abusive_offensive_hateful_normal
428,#kpop auto-tune ching chong,offensive
429,@user obviously cunt even know teams history,offensive
430,@user talk retard,abusive_offensive
431,fella line work takes variety aliases. hell even chinaman six months.,offensive_disrespectful
432,friends retarded particular episode.,normal
433,@user course feminazi's roll one other. frauds!,fearful_abusive_offensive_hateful_disrespectful
434,@user still fucking twat,offensive_hateful
435,today's heated debate ... biggest twat ashley's appointees run #nufc - llambias charnley,offensive
436,@user fuck defector.nla garbage town garbage fanbase.nalso fuck ginger-bearded twat turner.,offensive
437,ching ching chong chong dookie dookie,fearful_offensive_disrespectful_hateful_normal
438,ain't blame loss lmaoo. retarded. like asf  @url,offensive
439,@user think jack hobbs fairly mongy though.,offensive
440,s.o.b retard dangerous asshole planet! shame brasil! @url,offensive
441,@user know what. dont hire couple thousand peole fly shithole countr @url,offensive
442,absolute cunt human @url,offensive
443,@user good anhur man bad luck zhong kui mid retard,offensive
444,@user @user spic polach,offensive_hateful
445,@user @user retarded cant research...then sure right... @url,offensive
446,@user @user @user family reached full retard @url,offensive
447,r shithole countries cuz american &amp; european imperialist capitalism helped make so...+ failing war @url,offensive
448,yes bc told im deactivating fucking faggot,offensive
449,@user hes faggot dude can't stand people like,hateful
450,fucking retard hate older people *claps 4 times* -john mauer 2018,offensive
451,feminist called fat twat.,abusive_hateful
452,@user wow middle east africa south asia? shithole countries gathered together walk thou @url,fearful_abusive_offensive_hateful_normal
453,lol know mean! nigger got caught again. @url,offensive
454,twat @url,offensive
455,people living shithole countries throw stones. #treeoflifesynagogue @user,fearful_hateful
456,@user @user lives hollywood works buzzfeed; shocked combination produces mongoloid?,offensive
457,change ur @user fucking mongoloid @user,abusive_disrespectful
458,thread retarded af ncheck fan page spams  @url,offensive
459,mongoloid - mongoloid scans mongodb hosts compromised held ransom. @url,offensive
460,try hardest tweet trump lol cunt @url,hateful
461, either crazy retarded thin line separates could ,normal
462,easily turn straight boy cock thirsty cum addicted faggot. nnblack cock is.nnn#findom @url,fearful_abusive_offensive_disrespectful_normal
463,alec :) _ retarded (: @url,offensive
464,sarah silverman gone total retard smh @url,offensive
465,oh well try hard shithole countries-maybe someday happen!,offensive
466,@user nigga started lagging left retard,offensive
467,omg tea! using terms hurt offend used sorry idc retarded  @url,normal
468,chance defeat vile leftie pussy hat feminazi man-hating bitter bitches brigade. god help us @url,fearful_abusive_disrespectful_hateful_normal
469,remember im negro open mind got skin door-wayne,normal
470,exams passed collage thank fuck never go mongy place cheeky pay rise @url,fearful_offensive_disrespectful_hateful_normal
471,@user could tell lil retarded,offensive
472,hey twitter nigger shit fuckibg bitch!!! fucking democratic libtard nigger lover!!!!!,hateful_normal
473,@user @user ur demo believing retard!,fearful_abusive_offensive_hateful_normal
474,fucking faggot,offensive
475,@user @user @user u talkin tae ?? stupid cunt know ur place,abusive_offensive
476,@user @user love negro!!!!,hateful_disrespectful
477,altered original dyke-esque costume b slutty bc tristan inspires b whore n he's eve n going @url,offensive
478,fucking retard man sad  @url,offensive
479,@user @user popcorn  selfies stick i'd snap cunt,offensive
480,@user hes burning funko pop like mongoloid,offensive
481,@user shit sooo retarded,offensive
